date,year,indicator,value,units,source
2019-09-01,2019,"New Active Carriers Added to MCMIS: Total New Active Carriers Added, New For-hire Carriers Added, New Private Carriers Added",3596,Number of new active carriers,Federal Motor Carrier Safety Administration's Motor Carrier Management Information System (MCMIS)
2019-09-01,2019,"New Active Carriers Added to MCMIS: Total New Active Carriers Added, New For-hire Carriers Added, New Private Carriers Added",6056,Number of new active carriers,Federal Motor Carrier Safety Administration's Motor Carrier Management Information System (MCMIS)
2019-09-01,2019,Number of Non-Farm Truck Transportation Employees  in Thousands (Seasonally Adjusted),1524.6,Number of employees (thousands),U.S. Bureau of Labor Statistics - Current Employment Statistics (CES)
2019-09-01,2019,Number of Rail Transportation Employees in Thousands (Seasonally Adjusted),169.9,Number of employees (thousands),U.S. Bureau of Labor Statistics - Current Employment Statistics (CES)
2019-09-01,2019,Number of Warehousing and Storage Employees in Thousands (Seasonally Adjusted),1258.6,Number of employees (thousands),U.S. Bureau of Labor Statistics - Current Employment Statistics (CES)
2019-09-01,2019,Personal Consumption Expenditures in Billions of $: Durable Goods,1553.5,Billions of dollars,"U.S. Bureau of Economic Analysis, Personal Consumption Expenditures: Durable Goods"
2019-09-01,2019,Planning Time Index at Port of Los Angeles-Long Beach by Time of Day,4.53,PTI,FHWA National Performance Management Research Data Set (NPMRDS)
2019-09-01,2019,Planning Time Index at Port of Los Angeles-Long Beach by Time of Day,4.01,PTI,FHWA National Performance Management Research Data Set (NPMRDS)
2019-09-01,2019,Planning Time Index at Port of Los Angeles-Long Beach by Time of Day,5.05,PTI,FHWA National Performance Management Research Data Set (NPMRDS)
2019-09-01,2019,"Producer Price Index: Diesel Fuel, Seasonally Adjusted",215.2,Index (1982=100),"U.S. Bureau of Labor Statistics, Producer Price Index by Commodity: Fuels and Related Products and Power: No. 2 Diesel Fuel"
2019-09-01,2019,"Producer Price Index for Trucking (Dec. 2003=100): General Freight, Specialized Freight",135.6,Index (Dec. 2003=100),"U.S. Bureau of Labor Statistics, Producer Price Index by Industry"
2019-09-01,2019,"Producer Price Index for Trucking (Dec. 2003=100): General Freight, Specialized Freight",150.8,Index (Dec. 2003=100),"U.S. Bureau of Labor Statistics, Producer Price Index by Industry"
2019-09-01,2019,PTI Around Port of Los Angeles-Long Beach,4.39,PTI,FHWA National Performance Management Research Data Set (NPMRDS)
2019-09-01,2019,PTI Around Port of New York-New Jersey,4.26,PTI,FHWA National Performance Management Research Data Set (NPMRDS)
2019-09-01,2019,Total Business: Inventory to Sales Ratio,1.43,Inventories to sales ratio,"U.S. Census Bureau, Total Business: Inventories to Sales Ratio"
2019-09-01,2019,Truck Spot Rates in $ per Mile by Truck Type,1.564,Dollars per mile,DAT Freight and Analytics
2019-09-01,2019,Truck Spot Rates in $ per Mile by Truck Type,1.861,Dollars per mile,DAT Freight and Analytics
2019-09-01,2019,Truck Spot Rates in $ per Mile by Truck Type,1.847,Dollars per mile,DAT Freight and Analytics
2019-09-01,2019,U.S. Goods Imports Indexed (Feb. 2020 = 100),103.343548881,Index (Feb 2020=100),"U.S. Census Bureau, Seasonally Adjusted Real Imports by Principal End-use Category"
2019-09-01,2019,U.S. Goods Imports in Millions of $ (Nominal),204455.630583762,Millions of dollars (nominal),"U.S. Census Bureau and U.S. Bureau of Economic Analysis, U.S. Imports of Goods by Customs Basis from World"
2019-09-01,2019,"Vehicle Miles Traveled VMT, VMT seasonally adjusted",274195,Vehicle miles traveled,"VMT unadjusted: Office of Highway Policy Information, FHWA VMT seasonally adjusted U.S. Department of Transportation, Bureau of Transportation Statistics (BTS) calculation from U.S. Department of Transportation, Federal Highways Administration, Traffic Volumes and Trends"
2019-09-01,2019,"Vehicle Miles Traveled VMT, VMT seasonally adjusted",273319,Vehicle miles traveled,"VMT unadjusted: Office of Highway Policy Information, FHWA VMT seasonally adjusted U.S. Department of Transportation, Bureau of Transportation Statistics (BTS) calculation from U.S. Department of Transportation, Federal Highways Administration, Traffic Volumes and Trends"
2019-09-02,2019,U.S. Diesel Sales Prices  (in Dollars per Gallon),2.976,"Weighted average based on sampling of approximately 350 retail outlets, as reported for the week ending Monday.","U.S. Energy Information Administration, US Diesel Sales Price Not Seasonally Adjusted"
2019-09-03,2019,Downbound Grain Barge Rates,11.3,Dollars per ton,"U.S. Department of Agriculture, Agricultural Market Service, Downbound Grain Barge Rates."
2019-09-03,2019,Downbound Grain Barge Rates,15.99,Dollars per ton,"U.S. Department of Agriculture, Agricultural Market Service, Downbound Grain Barge Rates."
2019-09-03,2019,Downbound Grain Barge Rates,20.37,Dollars per ton,"U.S. Department of Agriculture, Agricultural Market Service, Downbound Grain Barge Rates."
2019-09-03,2019,Downbound Grain Barge Rates,15.21,Dollars per ton,"U.S. Department of Agriculture, Agricultural Market Service, Downbound Grain Barge Rates."
2019-09-03,2019,Downbound Grain Barge Rates,22.77,Dollars per ton,"U.S. Department of Agriculture, Agricultural Market Service, Downbound Grain Barge Rates."
2019-09-03,2019,Downbound Grain Barge Rates,13.81,Dollars per ton,"U.S. Department of Agriculture, Agricultural Market Service, Downbound Grain Barge Rates."
2019-09-03,2019,Downbound Grain Barge Rates,25.81,Dollars per ton,"U.S. Department of Agriculture, Agricultural Market Service, Downbound Grain Barge Rates."
2019-09-07,2019,U.S. Class I Containers on Rail Flat Cars,225698,Containers on rail flat cars,Surface Transportation Board (STB)
2019-09-07,2019,U.S. Class I Rail Intermodal Units,244160,Intermodals,Surface Transportation Board (STB)
2019-09-07,2019,U.S. Class I Total Rail Non-Intermodal Carloads,262577,Carloads,Surface Transportation Board (STB)
2019-09-07,2019,U.S. Class I Trailers on a Rail Flat Car,18462,Trailers on rail flat car,Surface Transportation Board (STB)
2019-09-08,2019,Capacity of Containerships Calling at U.S. Ports (in TEUs),1608609,TEUs,MARAD Office of Policy and Plans analysis of CBP VMS data
2019-09-08,2019,Truck Spot Rates in $ per Mile by Truck Type,1.549,Dollars per mile,DAT Freight and Analytics
2019-09-08,2019,Truck Spot Rates in $ per Mile by Truck Type,1.838,Dollars per mile,DAT Freight and Analytics
2019-09-08,2019,Truck Spot Rates in $ per Mile by Truck Type,1.842,Dollars per mile,DAT Freight and Analytics
2019-09-09,2019,U.S. Diesel Sales Prices  (in Dollars per Gallon),2.971,"Weighted average based on sampling of approximately 350 retail outlets, as reported for the week ending Monday.","U.S. Energy Information Administration, US Diesel Sales Price Not Seasonally Adjusted"
2019-09-10,2019,Downbound Grain Barge Rates,11.24,Dollars per ton,"U.S. Department of Agriculture, Agricultural Market Service, Downbound Grain Barge Rates."
2019-09-10,2019,Downbound Grain Barge Rates,15.57,Dollars per ton,"U.S. Department of Agriculture, Agricultural Market Service, Downbound Grain Barge Rates."
2019-09-10,2019,Downbound Grain Barge Rates,18.24,Dollars per ton,"U.S. Department of Agriculture, Agricultural Market Service, Downbound Grain Barge Rates."
2019-09-10,2019,Downbound Grain Barge Rates,14.81,Dollars per ton,"U.S. Department of Agriculture, Agricultural Market Service, Downbound Grain Barge Rates."
2019-09-10,2019,Downbound Grain Barge Rates,21.28,Dollars per ton,"U.S. Department of Agriculture, Agricultural Market Service, Downbound Grain Barge Rates."
2019-09-10,2019,Downbound Grain Barge Rates,14.64,Dollars per ton,"U.S. Department of Agriculture, Agricultural Market Service, Downbound Grain Barge Rates."
2019-09-10,2019,Downbound Grain Barge Rates,23.65,Dollars per ton,"U.S. Department of Agriculture, Agricultural Market Service, Downbound Grain Barge Rates."
2019-09-14,2019,U.S. Class I Containers on Rail Flat Cars,265680,Containers on rail flat cars,Surface Transportation Board (STB)
2019-09-14,2019,U.S. Class I Rail Intermodal Units,287369,Intermodals,Surface Transportation Board (STB)
2019-09-14,2019,U.S. Class I Total Rail Non-Intermodal Carloads,276249,Carloads,Surface Transportation Board (STB)
2019-09-14,2019,U.S. Class I Trailers on a Rail Flat Car,21689,Trailers on rail flat car,Surface Transportation Board (STB)
2019-09-15,2019,Capacity of Containerships Calling at U.S. Ports (in TEUs),2094440,TEUs,MARAD Office of Policy and Plans analysis of CBP VMS data
2019-09-15,2019,Truck Spot Rates in $ per Mile by Truck Type,1.546,Dollars per mile,DAT Freight and Analytics
2019-09-15,2019,Truck Spot Rates in $ per Mile by Truck Type,1.848,Dollars per mile,DAT Freight and Analytics
2019-09-15,2019,Truck Spot Rates in $ per Mile by Truck Type,1.837,Dollars per mile,DAT Freight and Analytics
2019-09-16,2019,U.S. Diesel Sales Prices  (in Dollars per Gallon),2.987,"Weighted average based on sampling of approximately 350 retail outlets, as reported for the week ending Monday.","U.S. Energy Information Administration, US Diesel Sales Price Not Seasonally Adjusted"
2019-09-17,2019,Downbound Grain Barge Rates,12.56,Dollars per ton,"U.S. Department of Agriculture, Agricultural Market Service, Downbound Grain Barge Rates."
2019-09-17,2019,Downbound Grain Barge Rates,17.02,Dollars per ton,"U.S. Department of Agriculture, Agricultural Market Service, Downbound Grain Barge Rates."
2019-09-17,2019,Downbound Grain Barge Rates,17.59,Dollars per ton,"U.S. Department of Agriculture, Agricultural Market Service, Downbound Grain Barge Rates."
2019-09-17,2019,Downbound Grain Barge Rates,16.19,Dollars per ton,"U.S. Department of Agriculture, Agricultural Market Service, Downbound Grain Barge Rates."
2019-09-17,2019,Downbound Grain Barge Rates,21.28,Dollars per ton,"U.S. Department of Agriculture, Agricultural Market Service, Downbound Grain Barge Rates."
2019-09-17,2019,Downbound Grain Barge Rates,14.96,Dollars per ton,"U.S. Department of Agriculture, Agricultural Market Service, Downbound Grain Barge Rates."
2019-09-17,2019,Downbound Grain Barge Rates,23.09,Dollars per ton,"U.S. Department of Agriculture, Agricultural Market Service, Downbound Grain Barge Rates."
2019-09-21,2019,U.S. Class I Containers on Rail Flat Cars,269804,Containers on rail flat cars,Surface Transportation Board (STB)
2019-09-21,2019,U.S. Class I Rail Intermodal Units,291203,Intermodals,Surface Transportation Board (STB)
2019-09-21,2019,U.S. Class I Total Rail Non-Intermodal Carloads,273989,Carloads,Surface Transportation Board (STB)
2019-09-21,2019,U.S. Class I Trailers on a Rail Flat Car,21399,Trailers on rail flat car,Surface Transportation Board (STB)
2019-09-22,2019,Capacity of Containerships Calling at U.S. Ports (in TEUs),2094648,TEUs,MARAD Office of Policy and Plans analysis of CBP VMS data
2019-09-22,2019,Truck Spot Rates in $ per Mile by Truck Type,1.531,Dollars per mile,DAT Freight and Analytics
2019-09-22,2019,Truck Spot Rates in $ per Mile by Truck Type,1.838,Dollars per mile,DAT Freight and Analytics
2019-09-22,2019,Truck Spot Rates in $ per Mile by Truck Type,1.806,Dollars per mile,DAT Freight and Analytics
2019-09-23,2019,U.S. Diesel Sales Prices  (in Dollars per Gallon),3.081,"Weighted average based on sampling of approximately 350 retail outlets, as reported for the week ending Monday.","U.S. Energy Information Administration, US Diesel Sales Price Not Seasonally Adjusted"
2019-09-24,2019,Downbound Grain Barge Rates,11.78,Dollars per ton,"U.S. Department of Agriculture, Agricultural Market Service, Downbound Grain Barge Rates."
2019-09-24,2019,Downbound Grain Barge Rates,18.38,Dollars per ton,"U.S. Department of Agriculture, Agricultural Market Service, Downbound Grain Barge Rates."
2019-09-24,2019,Downbound Grain Barge Rates,17.26,Dollars per ton,"U.S. Department of Agriculture, Agricultural Market Service, Downbound Grain Barge Rates."
2019-09-24,2019,Downbound Grain Barge Rates,17.48,Dollars per ton,"U.S. Department of Agriculture, Agricultural Market Service, Downbound Grain Barge Rates."
2019-09-24,2019,Downbound Grain Barge Rates,21.71,Dollars per ton,"U.S. Department of Agriculture, Agricultural Market Service, Downbound Grain Barge Rates."
2019-09-24,2019,Downbound Grain Barge Rates,14.08,Dollars per ton,"U.S. Department of Agriculture, Agricultural Market Service, Downbound Grain Barge Rates."
2019-09-24,2019,Downbound Grain Barge Rates,23.21,Dollars per ton,"U.S. Department of Agriculture, Agricultural Market Service, Downbound Grain Barge Rates."
2019-09-28,2019,U.S. Class I Containers on Rail Flat Cars,271088,Containers on rail flat cars,Surface Transportation Board (STB)
2019-09-28,2019,U.S. Class I Rail Intermodal Units,292250,Intermodals,Surface Transportation Board (STB)
2019-09-28,2019,U.S. Class I Total Rail Non-Intermodal Carloads,275694,Carloads,Surface Transportation Board (STB)
2019-09-28,2019,U.S. Class I Trailers on a Rail Flat Car,21162,Trailers on rail flat car,Surface Transportation Board (STB)
2019-09-29,2019,Capacity of Containerships Calling at U.S. Ports (in TEUs),2108606,TEUs,MARAD Office of Policy and Plans analysis of CBP VMS data
2019-09-29,2019,Truck Spot Rates in $ per Mile by Truck Type,1.53,Dollars per mile,DAT Freight and Analytics
2019-09-29,2019,Truck Spot Rates in $ per Mile by Truck Type,1.851,Dollars per mile,DAT Freight and Analytics
2019-09-29,2019,Truck Spot Rates in $ per Mile by Truck Type,1.809,Dollars per mile,DAT Freight and Analytics
2019-09-30,2019,U.S. Diesel Sales Prices  (in Dollars per Gallon),3.066,"Weighted average based on sampling of approximately 350 retail outlets, as reported for the week ending Monday.","U.S. Energy Information Administration, US Diesel Sales Price Not Seasonally Adjusted"
2019-10-01,2019,Average Planning Time Index at 10 Bottleneck Locations,8.073,PTI,FHWA National Performance Management Research Data Set (NPMRDS)
2019-10-01,2019,Average Truck Speed in MPH Around Port of Los Angeles-Long Beach,19.15,MPH,FHWA National Performance Management Research Data Set (NPMRDS)
2019-10-01,2019,Average Truck Speed in MPH Around Port of Los Angeles-Long Beach by Time of Day,18.92,MPH,FHWA National Performance Management Research Data Set (NPMRDS)
2019-10-01,2019,Average Truck Speed in MPH Around Port of Los Angeles-Long Beach by Time of Day,21.84,MPH,FHWA National Performance Management Research Data Set (NPMRDS)
2019-10-01,2019,Average Truck Speed in MPH Around Port of Los Angeles-Long Beach by Time of Day,18.66,MPH,FHWA National Performance Management Research Data Set (NPMRDS)
2019-10-01,2019,Average Truck Speed in MPH Around Port of New York-New Jersey,17.7,MPH,FHWA National Performance Management Research Data Set (NPMRDS)
2019-10-01,2019,Average Truck Speed in MPH at 10 Bottleneck Locations,20.61,MPH,FHWA National Performance Management Research Data Set (NPMRDS)
2019-10-01,2019,Containerized Exports at U.S. Ports in TEUs,1110819.29,TEUs,MARAD Office of Policy and Plans analysis of IHS Markit PIERS data
2019-10-01,2019,Containerized Imports at U.S. Ports in TEUs,2129698.7,TEUs,MARAD Office of Policy and Plans analysis of IHS Markit PIERS data
2019-10-01,2019,Downbound Grain Barge Rates,21.6,Dollars per ton,"U.S. Department of Agriculture, Agricultural Market Service, Downbound Grain Barge Rates."
2019-10-01,2019,Downbound Grain Barge Rates,22.16,Dollars per ton,"U.S. Department of Agriculture, Agricultural Market Service, Downbound Grain Barge Rates."
2019-10-01,2019,Downbound Grain Barge Rates,13.57,Dollars per ton,"U.S. Department of Agriculture, Agricultural Market Service, Downbound Grain Barge Rates."
2019-10-01,2019,Downbound Grain Barge Rates,19.22,Dollars per ton,"U.S. Department of Agriculture, Agricultural Market Service, Downbound Grain Barge Rates."
2019-10-01,2019,Downbound Grain Barge Rates,16.7,Dollars per ton,"U.S. Department of Agriculture, Agricultural Market Service, Downbound Grain Barge Rates."
2019-10-01,2019,Downbound Grain Barge Rates,20.21,Dollars per ton,"U.S. Department of Agriculture, Agricultural Market Service, Downbound Grain Barge Rates."
2019-10-01,2019,Downbound Grain Barge Rates,11.43,Dollars per ton,"U.S. Department of Agriculture, Agricultural Market Service, Downbound Grain Barge Rates."
2019-10-01,2019,Empty Export Containers at Select U.S. Ports in TEUs,198173,TEUs,Bureau of Transportation Statistics analysis of TEU data published by U.S. Ports
2019-10-01,2019,Empty Export Containers at Select U.S. Ports in TEUs,227431,TEUs,Bureau of Transportation Statistics analysis of TEU data published by U.S. Ports
2019-10-01,2019,Empty Export Containers at Select U.S. Ports in TEUs,57427,TEUs,Bureau of Transportation Statistics analysis of TEU data published by U.S. Ports
2019-10-01,2019,Empty Export Containers at Select U.S. Ports in TEUs,23234,TEUs,Bureau of Transportation Statistics analysis of TEU data published by U.S. Ports
2019-10-01,2019,Empty Export Containers at Select U.S. Ports in TEUs,93250,TEUs,Bureau of Transportation Statistics analysis of TEU data published by U.S. Ports
2019-10-01,2019,Empty Export Containers at Select U.S. Ports in TEUs,49468,TEUs,Bureau of Transportation Statistics analysis of TEU data published by U.S. Ports
2019-10-01,2019,Empty Export Containers at Select U.S. Ports in TEUs,45191,TEUs,Bureau of Transportation Statistics analysis of TEU data published by U.S. Ports
2019-10-01,2019,Empty Export Containers at Select U.S. Ports in TEUs,20904,TEUs,Bureau of Transportation Statistics analysis of TEU data published by U.S. Ports
2019-10-01,2019,Empty Export Containers at Select U.S. Ports in TEUs,214574,TEUs,Bureau of Transportation Statistics analysis of TEU data published by U.S. Ports
2019-10-01,2019,"Empty Export Containers (in TEUs), Aggregated Select U.S. Ports",929652,TEUs,Bureau of Transportation Statistics analysis of TEU data published by U.S. Ports
2019-10-01,2019,"Freight Rates in $ per 40ft Container To Central China (Shanghai) from U.S. Midwest, U.S. West Coast",770,Dollars per 40ft box,"U.S. Department of Agriculture, Agricultural Market Service, Container Ocean Freight Rates from Drewry Supply Chain Advisors' Container Freight Rate Insight"
2019-10-01,2019,Freight Transportation Services Index,137.1,Index (average 2000=100),Bureau of Transportation Statistics
2019-10-01,2019,"Job Openings and Labor Turnover: Transportation, Warehousing, and Utilities Sector (Seasonally Adjusted)",272000,Number,U.S. Bureau of Labor Statistics - Job Openings and Labor Turnover Survey (JOLTS)
2019-10-01,2019,"Job Openings and Labor Turnover: Transportation, Warehousing, and Utilities Sector (Seasonally Adjusted)",344000,Number,U.S. Bureau of Labor Statistics - Job Openings and Labor Turnover Survey (JOLTS)
2019-10-01,2019,"Job Openings and Labor Turnover: Transportation, Warehousing, and Utilities Sector (Seasonally Adjusted)",92000,Number,U.S. Bureau of Labor Statistics - Job Openings and Labor Turnover Survey (JOLTS)
2019-10-01,2019,"Job Openings and Labor Turnover: Transportation, Warehousing, and Utilities Sector (Seasonally Adjusted)",136000,Number,U.S. Bureau of Labor Statistics - Job Openings and Labor Turnover Survey (JOLTS)
2019-10-01,2019,Loaded Export Containers at Select U.S. Ports in TEUs,87392.6,TEUs,Bureau of Transportation Statistics analysis of TEU data published by U.S. Ports
2019-10-01,2019,Loaded Export Containers at Select U.S. Ports in TEUs,83557,TEUs,Bureau of Transportation Statistics analysis of TEU data published by U.S. Ports
2019-10-01,2019,Loaded Export Containers at Select U.S. Ports in TEUs,127971,TEUs,Bureau of Transportation Statistics analysis of TEU data published by U.S. Ports
2019-10-01,2019,Loaded Export Containers at Select U.S. Ports in TEUs,109362,TEUs,Bureau of Transportation Statistics analysis of TEU data published by U.S. Ports
2019-10-01,2019,Loaded Export Containers at Select U.S. Ports in TEUs,69952,TEUs,Bureau of Transportation Statistics analysis of TEU data published by U.S. Ports
2019-10-01,2019,Loaded Export Containers at Select U.S. Ports in TEUs,79321,TEUs,Bureau of Transportation Statistics analysis of TEU data published by U.S. Ports
2019-10-01,2019,Loaded Export Containers at Select U.S. Ports in TEUs,131635,TEUs,Bureau of Transportation Statistics analysis of TEU data published by U.S. Ports
2019-10-01,2019,Loaded Export Containers at Select U.S. Ports in TEUs,140331,TEUs,Bureau of Transportation Statistics analysis of TEU data published by U.S. Ports
2019-10-01,2019,Loaded Export Containers at Select U.S. Ports in TEUs,127256,TEUs,Bureau of Transportation Statistics analysis of TEU data published by U.S. Ports
2019-10-01,2019,Loaded Import Containers at Select U.S. Ports in TEUs,109469,TEUs,Bureau of Transportation Statistics analysis of TEU data published by U.S. Ports
2019-10-01,2019,Loaded Import Containers at Select U.S. Ports in TEUs,199483,TEUs,Bureau of Transportation Statistics analysis of TEU data published by U.S. Ports
2019-10-01,2019,Loaded Import Containers at Select U.S. Ports in TEUs,124142,TEUs,Bureau of Transportation Statistics analysis of TEU data published by U.S. Ports
2019-10-01,2019,Loaded Import Containers at Select U.S. Ports in TEUs,78582.5,TEUs,Bureau of Transportation Statistics analysis of TEU data published by U.S. Ports
2019-10-01,2019,Loaded Import Containers at Select U.S. Ports in TEUs,339443,TEUs,Bureau of Transportation Statistics analysis of TEU data published by U.S. Ports
2019-10-01,2019,Loaded Import Containers at Select U.S. Ports in TEUs,392768.6,TEUs,Bureau of Transportation Statistics analysis of TEU data published by U.S. Ports
2019-10-01,2019,Loaded Import Containers at Select U.S. Ports in TEUs,337062,TEUs,Bureau of Transportation Statistics analysis of TEU data published by U.S. Ports
2019-10-01,2019,Loaded Import Containers at Select U.S. Ports in TEUs,110585,TEUs,Bureau of Transportation Statistics analysis of TEU data published by U.S. Ports
2019-10-01,2019,Loaded Import Containers at Select U.S. Ports in TEUs,95302,TEUs,Bureau of Transportation Statistics analysis of TEU data published by U.S. Ports
2019-10-01,2019,"New Active Carriers Added to MCMIS: Total New Active Carriers Added, New For-hire Carriers Added, New Private Carriers Added",3978,Number of new active carriers,Federal Motor Carrier Safety Administration's Motor Carrier Management Information System (MCMIS)
2019-10-01,2019,"New Active Carriers Added to MCMIS: Total New Active Carriers Added, New For-hire Carriers Added, New Private Carriers Added",2417,Number of new active carriers,Federal Motor Carrier Safety Administration's Motor Carrier Management Information System (MCMIS)
2019-10-01,2019,"New Active Carriers Added to MCMIS: Total New Active Carriers Added, New For-hire Carriers Added, New Private Carriers Added",6619,Number of new active carriers,Federal Motor Carrier Safety Administration's Motor Carrier Management Information System (MCMIS)
2019-10-01,2019,Number of Non-Farm Truck Transportation Employees  in Thousands (Seasonally Adjusted),1523.7,Number of employees (thousands),U.S. Bureau of Labor Statistics - Current Employment Statistics (CES)
2019-10-01,2019,Number of Rail Transportation Employees in Thousands (Seasonally Adjusted),167.1,Number of employees (thousands),U.S. Bureau of Labor Statistics - Current Employment Statistics (CES)
2019-10-01,2019,Number of Warehousing and Storage Employees in Thousands (Seasonally Adjusted),1262.6,Number of employees (thousands),U.S. Bureau of Labor Statistics - Current Employment Statistics (CES)
2019-10-01,2019,Personal Consumption Expenditures in Billions of $: Durable Goods,1531.8,Billions of dollars,"U.S. Bureau of Economic Analysis, Personal Consumption Expenditures: Durable Goods"
2019-10-01,2019,Planning Time Index at Port of Los Angeles-Long Beach by Time of Day,4.62,PTI,FHWA National Performance Management Research Data Set (NPMRDS)
2019-10-01,2019,Planning Time Index at Port of Los Angeles-Long Beach by Time of Day,5.05,PTI,FHWA National Performance Management Research Data Set (NPMRDS)
2019-10-01,2019,Planning Time Index at Port of Los Angeles-Long Beach by Time of Day,3.8,PTI,FHWA National Performance Management Research Data Set (NPMRDS)
2019-10-01,2019,"Producer Price Index: Diesel Fuel, Seasonally Adjusted",212.3,Index (1982=100),"U.S. Bureau of Labor Statistics, Producer Price Index by Commodity: Fuels and Related Products and Power: No. 2 Diesel Fuel"
2019-10-01,2019,"Producer Price Index for Trucking (Dec. 2003=100): General Freight, Specialized Freight",151.1,Index (Dec. 2003=100),"U.S. Bureau of Labor Statistics, Producer Price Index by Industry"
2019-10-01,2019,"Producer Price Index for Trucking (Dec. 2003=100): General Freight, Specialized Freight",135.5,Index (Dec. 2003=100),"U.S. Bureau of Labor Statistics, Producer Price Index by Industry"
2019-10-01,2019,PTI Around Port of Los Angeles-Long Beach,4.43,PTI,FHWA National Performance Management Research Data Set (NPMRDS)
2019-10-01,2019,PTI Around Port of New York-New Jersey,4.18,PTI,FHWA National Performance Management Research Data Set (NPMRDS)
2019-10-01,2019,Total Business: Inventory to Sales Ratio,1.44,Inventories to sales ratio,"U.S. Census Bureau, Total Business: Inventories to Sales Ratio"
2019-10-01,2019,U.S. Goods Imports Indexed (Feb. 2020 = 100),102.312800082,Index (Feb 2020=100),"U.S. Census Bureau, Seasonally Adjusted Real Imports by Principal End-use Category"
2019-10-01,2019,U.S. Goods Imports in Millions of $ (Nominal),202068.371602244,Millions of dollars (nominal),"U.S. Census Bureau and U.S. Bureau of Economic Analysis, U.S. Imports of Goods by Customs Basis from World"
2019-10-01,2019,"Vehicle Miles Traveled VMT, VMT seasonally adjusted",272669,Vehicle miles traveled,"VMT unadjusted: Office of Highway Policy Information, FHWA VMT seasonally adjusted U.S. Department of Transportation, Bureau of Transportation Statistics (BTS) calculation from U.S. Department of Transportation, Federal Highways Administration, Traffic Volumes and Trends"
2019-10-01,2019,"Vehicle Miles Traveled VMT, VMT seasonally adjusted",283961,Vehicle miles traveled,"VMT unadjusted: Office of Highway Policy Information, FHWA VMT seasonally adjusted U.S. Department of Transportation, Bureau of Transportation Statistics (BTS) calculation from U.S. Department of Transportation, Federal Highways Administration, Traffic Volumes and Trends"
2019-10-05,2019,U.S. Class I Containers on Rail Flat Cars,259804,Containers on rail flat cars,Surface Transportation Board (STB)
2019-10-05,2019,U.S. Class I Rail Intermodal Units,279971,Intermodals,Surface Transportation Board (STB)
2019-10-05,2019,U.S. Class I Total Rail Non-Intermodal Carloads,267158,Carloads,Surface Transportation Board (STB)
2019-10-05,2019,U.S. Class I Trailers on a Rail Flat Car,20167,Trailers on rail flat car,Surface Transportation Board (STB)
2019-10-06,2019,Capacity of Containerships Calling at U.S. Ports (in TEUs),2076075,TEUs,MARAD Office of Policy and Plans analysis of CBP VMS data
2019-10-06,2019,Truck Spot Rates in $ per Mile by Truck Type,1.504,Dollars per mile,DAT Freight and Analytics
2019-10-06,2019,Truck Spot Rates in $ per Mile by Truck Type,1.823,Dollars per mile,DAT Freight and Analytics
2019-10-06,2019,Truck Spot Rates in $ per Mile by Truck Type,1.784,Dollars per mile,DAT Freight and Analytics
2019-10-07,2019,U.S. Diesel Sales Prices  (in Dollars per Gallon),3.047,"Weighted average based on sampling of approximately 350 retail outlets, as reported for the week ending Monday.","U.S. Energy Information Administration, US Diesel Sales Price Not Seasonally Adjusted"
2019-10-08,2019,Downbound Grain Barge Rates,11.71,Dollars per ton,"U.S. Department of Agriculture, Agricultural Market Service, Downbound Grain Barge Rates."
2019-10-08,2019,Downbound Grain Barge Rates,21.25,Dollars per ton,"U.S. Department of Agriculture, Agricultural Market Service, Downbound Grain Barge Rates."
2019-10-08,2019,Downbound Grain Barge Rates,17.82,Dollars per ton,"U.S. Department of Agriculture, Agricultural Market Service, Downbound Grain Barge Rates."
2019-10-08,2019,Downbound Grain Barge Rates,20.2,Dollars per ton,"U.S. Department of Agriculture, Agricultural Market Service, Downbound Grain Barge Rates."
2019-10-08,2019,Downbound Grain Barge Rates,22.18,Dollars per ton,"U.S. Department of Agriculture, Agricultural Market Service, Downbound Grain Barge Rates."
2019-10-08,2019,Downbound Grain Barge Rates,14.16,Dollars per ton,"U.S. Department of Agriculture, Agricultural Market Service, Downbound Grain Barge Rates."
2019-10-08,2019,Downbound Grain Barge Rates,23.65,Dollars per ton,"U.S. Department of Agriculture, Agricultural Market Service, Downbound Grain Barge Rates."
2019-10-12,2019,U.S. Class I Containers on Rail Flat Cars,260850,Containers on rail flat cars,Surface Transportation Board (STB)
2019-10-12,2019,U.S. Class I Rail Intermodal Units,279469,Intermodals,Surface Transportation Board (STB)
2019-10-12,2019,U.S. Class I Total Rail Non-Intermodal Carloads,265702,Carloads,Surface Transportation Board (STB)
2019-10-12,2019,U.S. Class I Trailers on a Rail Flat Car,18619,Trailers on rail flat car,Surface Transportation Board (STB)
2019-10-13,2019,Capacity of Containerships Calling at U.S. Ports (in TEUs),1957289,TEUs,MARAD Office of Policy and Plans analysis of CBP VMS data
2019-10-13,2019,Truck Spot Rates in $ per Mile by Truck Type,1.491,Dollars per mile,DAT Freight and Analytics
2019-10-13,2019,Truck Spot Rates in $ per Mile by Truck Type,1.817,Dollars per mile,DAT Freight and Analytics
2019-10-13,2019,Truck Spot Rates in $ per Mile by Truck Type,1.773,Dollars per mile,DAT Freight and Analytics
