period,series,series_description,value,units
2014-08,RBRTE,Europe Brent Spot Price FOB (Dollars per Barrel),101.61,$/BBL
2014-08,RWTC,"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)",96.54,$/BBL
2014-09,RBRTE,Europe Brent Spot Price FOB (Dollars per Barrel),97.09,$/BBL
2014-09,RWTC,"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)",93.21,$/BBL
2014-10,RBRTE,Europe Brent Spot Price FOB (Dollars per Barrel),87.43,$/BBL
2014-10,RWTC,"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)",84.4,$/BBL
2014-11,RBRTE,Europe Brent Spot Price FOB (Dollars per Barrel),79.44,$/BBL
2014-11,RWTC,"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)",75.79,$/BBL
2014-12,RBRTE,Europe Brent Spot Price FOB (Dollars per Barrel),62.34,$/BBL
2014-12,RWTC,"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)",59.29,$/BBL
2015-01,RBRTE,Europe Brent Spot Price FOB (Dollars per Barrel),47.76,$/BBL
2015-01,RWTC,"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)",47.22,$/BBL
2015-02,RBRTE,Europe Brent Spot Price FOB (Dollars per Barrel),58.1,$/BBL
2015-02,RWTC,"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)",50.58,$/BBL
2015-03,RBRTE,Europe Brent Spot Price FOB (Dollars per Barrel),55.89,$/BBL
2015-03,RWTC,"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)",47.82,$/BBL
2015-04,RBRTE,Europe Brent Spot Price FOB (Dollars per Barrel),59.52,$/BBL
2015-04,RWTC,"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)",54.45,$/BBL
2015-05,RBRTE,Europe Brent Spot Price FOB (Dollars per Barrel),64.08,$/BBL
2015-05,RWTC,"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)",59.27,$/BBL
2015-06,RBRTE,Europe Brent Spot Price FOB (Dollars per Barrel),61.48,$/BBL
2015-06,RWTC,"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)",59.82,$/BBL
2015-07,RBRTE,Europe Brent Spot Price FOB (Dollars per Barrel),56.56,$/BBL
2015-07,RWTC,"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)",50.9,$/BBL
2015-08,RBRTE,Europe Brent Spot Price FOB (Dollars per Barrel),46.52,$/BBL
2015-08,RWTC,"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)",42.87,$/BBL
2015-09,RBRTE,Europe Brent Spot Price FOB (Dollars per Barrel),47.62,$/BBL
2015-09,RWTC,"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)",45.48,$/BBL
2015-10,RBRTE,Europe Brent Spot Price FOB (Dollars per Barrel),48.43,$/BBL
2015-10,RWTC,"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)",46.22,$/BBL
2015-11,RBRTE,Europe Brent Spot Price FOB (Dollars per Barrel),44.27,$/BBL
2015-11,RWTC,"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)",42.44,$/BBL
2015-12,RBRTE,Europe Brent Spot Price FOB (Dollars per Barrel),38.01,$/BBL
2015-12,RWTC,"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)",37.19,$/BBL
2016-01,RBRTE,Europe Brent Spot Price FOB (Dollars per Barrel),30.7,$/BBL
2016-01,RWTC,"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)",31.68,$/BBL
2016-02,RBRTE,Europe Brent Spot Price FOB (Dollars per Barrel),32.18,$/BBL
2016-02,RWTC,"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)",30.32,$/BBL
2016-03,RBRTE,Europe Brent Spot Price FOB (Dollars per Barrel),38.21,$/BBL
2016-03,RWTC,"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)",37.55,$/BBL
2016-04,RBRTE,Europe Brent Spot Price FOB (Dollars per Barrel),41.58,$/BBL
2016-04,RWTC,"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)",40.75,$/BBL
2016-05,RBRTE,Europe Brent Spot Price FOB (Dollars per Barrel),46.74,$/BBL
2016-05,RWTC,"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)",46.71,$/BBL
2016-06,RBRTE,Europe Brent Spot Price FOB (Dollars per Barrel),48.25,$/BBL
2016-06,RWTC,"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)",48.76,$/BBL
2016-07,RBRTE,Europe Brent Spot Price FOB (Dollars per Barrel),44.95,$/BBL
2016-07,RWTC,"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)",44.65,$/BBL
2016-08,RBRTE,Europe Brent Spot Price FOB (Dollars per Barrel),45.84,$/BBL
2016-08,RWTC,"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)",44.72,$/BBL
2016-09,RBRTE,Europe Brent Spot Price FOB (Dollars per Barrel),46.57,$/BBL
2016-09,RWTC,"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)",45.18,$/BBL
2016-10,RBRTE,Europe Brent Spot Price FOB (Dollars per Barrel),49.52,$/BBL
2016-10,RWTC,"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)",49.78,$/BBL
2016-11,RBRTE,Europe Brent Spot Price FOB (Dollars per Barrel),44.73,$/BBL
2016-11,RWTC,"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)",45.66,$/BBL
2016-12,RBRTE,Europe Brent Spot Price FOB (Dollars per Barrel),53.31,$/BBL
2016-12,RWTC,"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)",51.97,$/BBL
2017-01,RBRTE,Europe Brent Spot Price FOB (Dollars per Barrel),54.58,$/BBL
