period,total_original,total_seasonally_adjusted,total_trend_cycle,north_range_original,north_range_seasonally_adjusted,north_range_trend_cycle
2018-05,117.6230452065243,114.1420105435182,112.6837147507636,113.47163088444,110.6714640687029,109.23709654675029
2018-06,114.1733816148995,112.4380828202798,113.01585003636499,106.7343056436271,108.6080341070107,109.3957317120633
2018-07,117.33095958564419,113.78679406218851,113.4181104260096,112.1517534877303,109.73683343844699,109.7424563352217
2018-08,117.1756242318758,113.9579759444775,113.9170349830287,116.71132994909109,115.5090462692998,110.2260751498803
2018-09,114.28064263789641,113.5087100580777,114.5216297792302,108.1549076289932,109.3555250312719,110.90954310858289
2018-10,118.3189360151523,115.79280087969759,115.10812504426509,117.3587315857128,112.7027160778764,111.52303304330241
2018-11,114.1019909653707,115.24968552040519,115.5762986291986,109.67577553002531,113.01220213927679,111.9595913409663
2018-12,115.95253393160731,116.8347012798634,115.8507971354414,108.2853542274169,114.03829167987639,112.30990583485909
2019-01,116.5977135803135,116.58075016380759,115.8371762362367,107.9043498635257,107.3102344761126,112.6719098752455
2019-02,100.581779693656,115.48545169380419,115.66611263837549,109.7054058051947,114.3155865701947,113.1668568734078
2019-03,115.7483443390625,114.4109706668378,115.4566555307771,116.2679460585274,111.45417806575659,113.7796950461083
2019-04,115.91264923898839,116.12883378425779,115.3867582342917,117.9578196673627,116.7819711164037,114.3762384652439
2019-05,118.6024935610199,115.2145030204706,115.5660907009996,118.0248470803362,116.1203785597617,114.8288887502253
2019-06,117.14194393404431,115.2173286620191,115.9160367240051,111.3701135559656,114.27900887246,114.8746973869696
2019-07,121.5550150407193,117.3185971151468,116.2667799396999,116.3437799929135,114.38719681302069,114.2955044211604
2019-08,119.9869776422653,116.0314952294123,116.42588838475891,115.3732585237686,113.90426913569669,113.2623193281176
2019-09,117.7108742780279,117.2280001563162,116.3451107475331,110.3678824940956,112.16584741137071,112.10342837012099
2019-10,118.8623477422402,116.4353020789021,116.1371262564641,118.26152234329911,112.2748383210471,111.0991113463888
2019-11,114.5860715780282,115.3233017134357,115.9401001304454,106.5510504949273,109.04768548175539,110.54021610918851
2019-12,112.7206494719703,115.0380705579815,115.8199282421548,103.5118221052096,108.3514309894574,110.26855774977329
2020-01,115.8140774313437,116.1056969524633,115.8851270457947,113.3096887406865,112.9164793441431,110.01594968170861
2020-02,95.067283283617527,108.0541088346743,107.492662519219,105.86773476316991,106.7697573963641,109.68263877033939
2020-03,111.097855686968,109.46520790483579,107.7879992212698,116.51818275290179,111.63629678916141,109.2264904225963
2020-04,107.2609631488144,107.4873163496603,108.0185945606186,109.0453983058913,109.0855441735393,108.7552028938545
2020-05,108.9346663230491,105.3924580962554,108.1077348724517,106.96546918615741,105.2208953898913,108.5522577970989
2020-06,111.27477330961339,108.9082111419025,108.1704082266842,102.2750103870321,104.67406218610461,109.03842514048409
2020-07,119.242380444986,115.46880472512009,115.7359098192893,116.5274632364043,114.7053456943608,110.4127984327434
2020-08,120.55795743287069,116.0080581436511,115.9634313060577,111.8351315225688,111.5315558687023,112.5490980752773
2020-09,122.066854500313,121.3300969429806,122.63120977142761,114.42800993638591,114.5910543029657,114.9774960605139
2020-10,126.7566615919722,124.2374417046009,122.8863504007991,124.499658479736,118.18528828541881,117.2860322780142
2020-11,122.56526943828671,123.8305589766354,123.1553102014914,117.25594296860039,120.9066776833717,119.0216082894698
2020-12,119.6373217901435,122.3645904495727,123.4811934366368,113.95962836785419,118.87629737291761,120.01387430906
2021-01,123.99876575170521,124.4770702587325,123.7979622782738,122.479876678122,121.5089548892323,120.4578237519015
2021-02,107.3371204335523,122.8861720317923,123.9552193705035,108.3288975832902,113.760751043547,120.60016945736299
2021-03,127.494970522814,125.213872526315,123.88095215350781,125.6006265473047,120.43854950683679,120.58610042858869
2021-04,123.7627977107049,124.4026831545482,123.57173538709689,119.2686153388657,119.41271500069639,120.5890846743593
2021-05,127.81189339123711,123.3451703530105,123.1305748343878,121.6941392676445,120.30574303274329,120.4639411028963
2021-06,124.614962336457,121.9184140109742,122.6732001548172,120.9789151848662,123.6434276245202,120.1997704861508
2021-07,125.0816775838431,120.7032678091459,122.40101465257371,122.6681772297145,120.10890261420531,119.83478822443141
2021-08,126.97295295407891,122.7570110875624,122.47348934099649,119.222319945051,117.84452524442899,119.5817526739101
2021-09,124.14292313587799,123.1934869771617,122.8728414121054,118.5851925834106,118.8965774622085,119.4918858841509
2021-10,125.5335787375956,123.8321537778279,123.51174610296221,124.4856842426334,118.5337126600507,119.6914467268434
2021-11,122.81941163700439,124.0703341919542,124.1327334904517,120.129636276141,122.8166296979189,119.9129721104588
2021-12,120.8020840640594,124.2653968981603,124.5728605965859,113.4230421256741,119.31743365387661,119.9083398014329
2022-01,125.4663846180984,125.3833368393022,124.82175099436139,121.2050409690537,121.3696101998737,119.4871029479386
2022-02,109.9912961747084,125.58412785331269,125.0010366015625,101.5197135740067,107.028225764998,118.4334352882594
2022-03,127.1755445219863,125.3068643218799,125.17992380289201,123.4273116067582,117.67124186687511,116.96170314375181
2022-04,123.3008435910309,123.09338599881779,125.3322098696773,112.93238433891651,113.1488157694027,115.5545505987416
2022-05,129.11633795980259,125.226025796328,125.37698702474511,119.6303248589676,117.21007760681481,114.55542057079479
2022-06,129.32320659942931,126.1745083496964,125.2115661950061,111.01984511536109,113.87717659132041,113.90971027971349
2022-07,129.73533607545221,125.6430745321034,124.8272159651443,111.909078489004,109.6908958252811,113.43422482502289
2022-08,129.08010305716169,123.8289437180334,124.1836996139287,116.677646369057,115.2294258255756,112.9443131763361
2022-09,123.7230323994625,123.1972889121583,123.2950456157441,115.80427680189661,115.3964477985016,112.23838796722011
2022-10,123.6974010422298,121.9165004071825,122.3173199936053,115.28739493999601,110.4833675894812,111.29235468080959
2022-11,120.18013982733071,121.835505547851,121.49318301830969,105.6806726286511,108.00182992094619,110.2434464643883
2022-12,119.97256842395829,123.3659528863443,121.02604930019081,106.3417732985812,111.33739484350281,109.2418984025396
